,Information Technology,Financials,Health Care,Consumer Discretionary,Industrials,Energy,Consumer Staples,Materials,Utilities,Telecommunication Services
2022-10-20 00:00:00,2122.21,519.73,1442.25,1092.49,730.61,649.41,707.22,439.86,315.76,168.02
2022-10-21 00:00:00,2178.4,534.91,1474.11,1124.42,749.96,667.35,718.21,455.08,321.57,169.45
2022-10-24 00:00:00,2208.42,542.12,1502.28,1129.8,760.09,670.52,731.08,452.24,324.21,170.98
2022-10-25 00:00:00,2251.11,548.53,1514.03,1156.26,770.33,670.22,740.34,463.67,330.77,175.04
2022-10-26 00:00:00,2200.83,550.14,1530.99,1144.03,772.98,679.34,745.15,466.76,330.64,166.72
2022-10-27 00:00:00,2173.33,554.25,1522.18,1135.78,781.82,681.19,745.43,465.53,332.9,159.85
2022-10-28 00:00:00,2271.63,568.03,1547.85,1132.37,800.42,685.71,761.97,470.3,342.4,164.62
2022-10-31 00:00:00,2241.13,563.91,1546.64,1124.52,797.71,689.83,757.25,466.12,339.18,161.86
2022-11-01 00:00:00,2221.76,566.21,1547.57,1109.34,797.24,696.69,755.15,467.22,340.55,158.93
2022-11-02 00:00:00,2144.63,558.94,1521.37,1067.26,783.19,681.01,742.08,455.2,337.08,154.1
2022-11-03 00:00:00,2080.35,552.97,1514.72,1057.84,791.34,694.92,739.6,458.73,338.58,149.74
2022-11-04 00:00:00,2115.17,563.29,1523.29,1066.96,803.92,701.99,748.01,474.35,340.51,152.38
2022-11-07 00:00:00,2149.86,568.37,1539.41,1060.39,812.48,714.13,754.52,478.09,333.91,155.16
2022-11-08 00:00:00,2169.59,571.7,1547.15,1057.18,819.46,714.51,757.1,486.12,336.21,155.73
2022-11-09 00:00:00,2112.06,562,1530.84,1024.24,807.6,679.63,748.54,478.42,333.38,152.77
2022-11-10 00:00:00,2287.95,590.86,1570.5,1103.07,841.77,694.74,766.93,504.97,349.24,162.43
2022-11-11 00:00:00,2327.4,595.51,1550.4,1130.23,840.9,716.02,765.85,510.85,345.24,166.45
2022-11-14 00:00:00,2304.92,586.34,1550.93,1110.93,835.18,712.28,758.89,509.79,340.85,166.01
2022-11-15 00:00:00,2333.42,588.01,1549.85,1124.69,841.64,720.16,767.14,509.21,344.51,168.96
2022-11-16 00:00:00,2299.69,585.36,1547.86,1108.27,835.1,704.68,770.67,504.22,347.51,168.01
2022-11-17 00:00:00,2304.62,582.22,1547.21,1094.22,833.02,705.52,770.79,499.41,341.28,166.9
2022-11-18 00:00:00,2307.6,586.71,1565.77,1094.65,838.94,699.19,778.78,502.64,348.1,166.31
2022-11-21 00:00:00,2281.53,588.69,1566.48,1079.21,842.06,689.46,786.39,504.54,349.83,164.96
2022-11-22 00:00:00,2325.53,594.73,1580.32,1091.89,848.4,711.39,792.03,515.8,352.78,167.15
2022-11-23 00:00:00,2345.86,596.95,1585.76,1106.37,851.7,703.13,794.68,517.93,356.44,169.18
2022-11-25 00:00:00,2330.19,599.37,1595.63,1107.04,854.86,701,795.14,517.32,358.67,167.99
2022-11-28 00:00:00,2280.52,588.73,1583.67,1100.38,839.42,681.81,792.68,505.94,354.83,165.39
2022-11-29 00:00:00,2258.28,592.65,1579.99,1095.49,844.62,690.53,789.76,507.45,352.24,164.84
2022-11-30 00:00:00,2371.98,602.43,1618.68,1133.65,858.06,694.3,804.18,519.72,361.25,172.94
2022-12-01 00:00:00,2373.66,598.13,1622.56,1132.42,858.03,691.37,800.38,519.55,360.58,173.45
2022-12-02 00:00:00,2360.62,595.56,1626.18,1130.29,863.37,687.2,803.89,525.28,358.89,173.55
2022-12-05 00:00:00,2321.54,580.68,1610.11,1096.92,848.65,667.01,794.23,515.03,356.75,170.94
2022-12-06 00:00:00,2271.92,575.7,1598.13,1079.12,838.91,649.35,788.85,510.5,359.12,166.54
2022-12-07 00:00:00,2260.23,573.1,1611.67,1073.98,837.76,647.47,791.81,509.25,357.43,164.99
2022-12-08 00:00:00,2296.23,573.96,1626.07,1085.24,842.55,644.46,795.26,512.69,359.44,164.16
2022-12-09 00:00:00,2281.8,572.33,1605.2,1079.62,835.7,629.47,789.18,507.77,357.73,164.19
2022-12-12 00:00:00,2331.38,579.55,1621.85,1083.79,849.99,645.12,797.34,512.32,365.85,165.35
2022-12-13 00:00:00,2357.99,581.26,1626.3,1085.93,853.02,656.54,796.01,519.21,367,168.16
2022-12-14 00:00:00,2337.75,573.74,1628.65,1078.04,851.42,652.33,795.43,513.45,366.41,166.72
2022-12-15 00:00:00,2249.46,562.23,1598.35,1058.81,830.55,648.88,782.22,497.94,361.77,160.31
2022-12-16 00:00:00,2220.93,558.05,1575.84,1040.4,826.54,640.28,778.1,495.88,355.76,160.14
2022-12-19 00:00:00,2189.5,556.76,1570.16,1023.14,822.28,641.14,777.78,489.24,354.29,156.64
2022-12-20 00:00:00,2192.93,558.46,1569.24,1011.57,823.45,650.86,777.64,492.42,354.51,157.77
2022-12-21 00:00:00,2229.68,567.97,1589.73,1027.58,838.65,663.17,784.02,496.54,359.32,159.64
2022-12-22 00:00:00,2173.04,562.43,1587.22,1000.97,828.14,647.84,781.76,491.86,357.04,157.8
2022-12-23 00:00:00,2175.54,565.89,1588.53,1008.1,832.86,668.33,785.87,495.38,360.8,159.5
2022-12-27 00:00:00,2154.38,565.7,1584.31,991.55,835.58,675.96,789.55,495.53,363.03,157.62
